Train Name,From,To,Departure Date,Departure Time,Arrival Time,Base Price,Total Seats
SE9,Hà Nội,TP Hồ Chí Minh,2026-04-09,09:45,17:45,1200000,248
SE1,TP Hồ Chí Minh,Hà Nội,2026-04-09,15:30,07:00,1200000,248
VĐ2,Hà Nội,Đà Nẵng,2026-04-09,10:00,21:45,800000,248
SE1,Đà Nẵng,Hà Nội,2026-04-09,17:45,05:45,800000,248
TN2,Hà Nội,Vinh,2026-04-09,12:15,19:45,300000,248
SE7,Vinh,Hà Nội,2026-04-09,16:00,07:15,300000,248
VĐ2,Hà Nội,Huế,2026-04-09,06:30,19:45,650000,248
SE8,Huế,Hà Nội,2026-04-09,17:00,07:45,650000,248
SE8,Hà Nội,Lào Cai,2026-04-09,11:00,19:00,400000,248
SE9,Lào Cai,Hà Nội,2026-04-09,17:00,04:45,400000,248
SE10,Hà Nội,Hải Phòng,2026-04-09,10:30,20:45,150000,248
NA2,Hải Phòng,Hà Nội,2026-04-09,18:00,07:30,150000,248
SE4,Hà Nội,Nha Trang,2026-04-09,08:45,16:30,950000,248
TN2,Nha Trang,Hà Nội,2026-04-09,13:00,07:15,950000,248
SE3,TP Hồ Chí Minh,Đà Nẵng,2026-04-09,05:30,21:30,850000,248
SE8,Đà Nẵng,TP Hồ Chí Minh,2026-04-09,18:30,05:30,850000,248
TN1,TP Hồ Chí Minh,Nha Trang,2026-04-09,05:15,20:45,500000,248
SE3,Nha Trang,TP Hồ Chí Minh,2026-04-09,14:45,07:00,500000,248
VĐ1,TP Hồ Chí Minh,Bình Thuận,2026-04-09,10:00,21:00,350000,248
SE10,Bình Thuận,TP Hồ Chí Minh,2026-04-09,18:30,05:45,350000,248
SE3,Đà Nẵng,Huế,2026-04-09,10:15,21:15,120000,248
SE10,Huế,Đà Nẵng,2026-04-09,17:45,07:15,120000,248
SE9,Đà Nẵng,Nha Trang,2026-04-09,10:15,17:15,450000,248
SE9,Nha Trang,Đà Nẵng,2026-04-09,18:15,07:45,450000,248
HP2,Hà Nội,TP Hồ Chí Minh,2026-04-10,12:30,21:00,1200000,248
SPT2,TP Hồ Chí Minh,Hà Nội,2026-04-10,14:30,04:30,1200000,248
SE9,Hà Nội,Đà Nẵng,2026-04-10,11:45,21:45,800000,248
SE1,Đà Nẵng,Hà Nội,2026-04-10,17:00,06:45,800000,248
SE2,Hà Nội,Vinh,2026-04-10,10:45,17:30,300000,248
SE10,Vinh,Hà Nội,2026-04-10,14:00,05:00,300000,248
SE7,Hà Nội,Huế,2026-04-10,06:00,16:00,650000,248
NA2,Huế,Hà Nội,2026-04-10,18:45,07:00,650000,248
SE4,Hà Nội,Lào Cai,2026-04-10,07:15,18:30,400000,248
SPT1,Lào Cai,Hà Nội,2026-04-10,14:45,06:00,400000,248
SE5,Hà Nội,Hải Phòng,2026-04-10,05:45,19:15,150000,248
SE2,Hải Phòng,Hà Nội,2026-04-10,17:45,05:45,150000,248
SE4,Hà Nội,Nha Trang,2026-04-10,05:00,20:30,950000,248
SE5,Nha Trang,Hà Nội,2026-04-10,16:30,06:30,950000,248
SE7,TP Hồ Chí Minh,Đà Nẵng,2026-04-10,11:45,19:45,850000,248
SE6,Đà Nẵng,TP Hồ Chí Minh,2026-04-10,16:15,04:30,850000,248
SE7,TP Hồ Chí Minh,Nha Trang,2026-04-10,05:45,21:30,500000,248
HP1,Nha Trang,TP Hồ Chí Minh,2026-04-10,16:15,04:30,500000,248
VĐ1,TP Hồ Chí Minh,Bình Thuận,2026-04-10,05:30,18:00,350000,248
SE3,Bình Thuận,TP Hồ Chí Minh,2026-04-10,14:15,05:00,350000,248
SE3,Đà Nẵng,Huế,2026-04-10,10:00,20:45,120000,248
TN2,Huế,Đà Nẵng,2026-04-10,16:45,06:45,120000,248
SPT1,Đà Nẵng,Nha Trang,2026-04-10,08:30,17:45,450000,248
HP2,Nha Trang,Đà Nẵng,2026-04-10,18:45,05:45,450000,248
SPT1,Hà Nội,TP Hồ Chí Minh,2026-04-11,07:30,17:45,1200000,248
SPT2,TP Hồ Chí Minh,Hà Nội,2026-04-11,16:15,07:15,1200000,248
SPT2,Hà Nội,Đà Nẵng,2026-04-11,08:00,19:30,800000,248
TN1,Đà Nẵng,Hà Nội,2026-04-11,15:00,05:15,800000,248
HP1,Hà Nội,Vinh,2026-04-11,08:15,21:00,300000,248
SE6,Vinh,Hà Nội,2026-04-11,16:30,05:00,300000,248
HP2,Hà Nội,Huế,2026-04-11,06:45,19:00,650000,248
VĐ1,Huế,Hà Nội,2026-04-11,17:30,07:15,650000,248
SE10,Hà Nội,Lào Cai,2026-04-11,10:30,18:15,400000,248
HP1,Lào Cai,Hà Nội,2026-04-11,18:00,06:00,400000,248
TN2,Hà Nội,Hải Phòng,2026-04-11,09:15,20:15,150000,248
NA1,Hải Phòng,Hà Nội,2026-04-11,16:45,04:30,150000,248
SE10,Hà Nội,Nha Trang,2026-04-11,06:15,19:00,950000,248
HP1,Nha Trang,Hà Nội,2026-04-11,16:15,07:00,950000,248
SE10,TP Hồ Chí Minh,Đà Nẵng,2026-04-11,11:30,18:30,850000,248
SE5,Đà Nẵng,TP Hồ Chí Minh,2026-04-11,16:15,05:45,850000,248
TN1,TP Hồ Chí Minh,Nha Trang,2026-04-11,05:30,20:45,500000,248
SE4,Nha Trang,TP Hồ Chí Minh,2026-04-11,17:45,05:15,500000,248
SE3,TP Hồ Chí Minh,Bình Thuận,2026-04-11,11:00,19:45,350000,248
SE8,Bình Thuận,TP Hồ Chí Minh,2026-04-11,13:30,04:00,350000,248
SE5,Đà Nẵng,Huế,2026-04-11,10:15,16:00,120000,248
NA1,Huế,Đà Nẵng,2026-04-11,16:30,05:30,120000,248
SE7,Đà Nẵng,Nha Trang,2026-04-11,12:15,18:45,450000,248
SE2,Nha Trang,Đà Nẵng,2026-04-11,13:15,05:30,450000,248
NA2,Hà Nội,TP Hồ Chí Minh,2026-04-12,12:45,21:30,1200000,248
VĐ2,TP Hồ Chí Minh,Hà Nội,2026-04-12,15:15,07:30,1200000,248
SE9,Hà Nội,Đà Nẵng,2026-04-12,05:15,20:15,800000,248
SPT1,Đà Nẵng,Hà Nội,2026-04-12,18:45,04:15,800000,248
SPT2,Hà Nội,Vinh,2026-04-12,11:45,19:45,300000,248
VĐ2,Vinh,Hà Nội,2026-04-12,13:00,06:15,300000,248
VĐ1,Hà Nội,Huế,2026-04-12,12:30,20:45,650000,248
NA2,Huế,Hà Nội,2026-04-12,15:45,05:15,650000,248
SPT1,Hà Nội,Lào Cai,2026-04-12,09:15,16:45,400000,248
TN2,Lào Cai,Hà Nội,2026-04-12,14:00,04:30,400000,248
NA2,Hà Nội,Hải Phòng,2026-04-12,06:30,18:30,150000,248
SE4,Hải Phòng,Hà Nội,2026-04-12,16:15,07:45,150000,248
VĐ2,Hà Nội,Nha Trang,2026-04-12,12:15,16:15,950000,248
NA2,Nha Trang,Hà Nội,2026-04-12,15:45,04:00,950000,248
SE3,TP Hồ Chí Minh,Đà Nẵng,2026-04-12,10:00,21:30,850000,248
NA1,Đà Nẵng,TP Hồ Chí Minh,2026-04-12,17:45,07:30,850000,248
SE8,TP Hồ Chí Minh,Nha Trang,2026-04-12,08:00,17:15,500000,248
SE7,Nha Trang,TP Hồ Chí Minh,2026-04-12,13:30,06:00,500000,248
SE8,TP Hồ Chí Minh,Bình Thuận,2026-04-12,07:15,19:30,350000,248
VĐ2,Bình Thuận,TP Hồ Chí Minh,2026-04-12,15:45,06:30,350000,248
SPT1,Đà Nẵng,Huế,2026-04-12,05:30,21:30,120000,248
SE9,Huế,Đà Nẵng,2026-04-12,13:00,06:30,120000,248
NA1,Đà Nẵng,Nha Trang,2026-04-12,09:30,19:15,450000,248
NA1,Nha Trang,Đà Nẵng,2026-04-12,13:00,06:00,450000,248
SE5,Hà Nội,TP Hồ Chí Minh,2026-04-13,07:15,17:15,1200000,248
NA2,TP Hồ Chí Minh,Hà Nội,2026-04-13,14:45,04:00,1200000,248
SE7,Hà Nội,Đà Nẵng,2026-04-13,05:15,20:00,800000,248
TN1,Đà Nẵng,Hà Nội,2026-04-13,13:30,07:30,800000,248
HP2,Hà Nội,Vinh,2026-04-13,09:45,21:15,300000,248
SE5,Vinh,Hà Nội,2026-04-13,17:00,04:30,300000,248
VĐ1,Hà Nội,Huế,2026-04-13,07:30,16:15,650000,248
NA2,Huế,Hà Nội,2026-04-13,14:15,04:45,650000,248
NA2,Hà Nội,Lào Cai,2026-04-13,09:30,18:30,400000,248
SE9,Lào Cai,Hà Nội,2026-04-13,17:00,06:30,400000,248
